"id_cliente","compras_online","compras_locales","productos_online","productos_locales","servicios_comprados","gasto_online","gasto_local","fecha_ultima_compra_online","fecha_ultima_compra_local","dias_desde_ultima_compra_online","dias_desde_ultima_compra_local","cliente_sin_compras","producto_preferido","categoria_preferida","marca_preferida","presentacion_preferida","servicio_preferido"
"06742236-9cee-4364-b15e-ec583ad15075",2,2,5,1,1,1361.00,1500.00,"2025-12-21","2026-07-02",213,20,0,"Agua Micelar Piel Mixta","Cuidado facial","GARNIER","Única","Corte de Cabello Dama"
"067dd0ab-427a-42bb-8a6f-f71a15d0f189",7,3,45,9,9,11509.50,2615.00,"2026-07-08","2026-03-26",14,118,0,"120 Classic Ivory Base Matte 30H","Maquillaje","MAYBELLINE","30ml","Depilaciones Cera y Navaja"
"068be82c-da6c-4182-8848-b21dc9f9c769",2,1,5,3,3,1997.00,670.00,"2026-04-17","2025-12-05",96,229,0,"40 Petalcore Teddy Tint","Maquillaje","MAYBELLINE","Única","Depilaciones Cera y Navaja"
"0717ec2a-5521-4eac-8e8c-429927fa592f",7,4,33,9,9,8119.50,2503.75,"2026-07-05","2026-01-03",17,200,0,"Sun Kissed Iluminador Jafra","Maquillaje","MAYBELLINE","Única","Depilaciones Cera y Navaja"
"074b4426-ca97-43f1-8e2b-eda4e3484252",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"07706adf-fd5e-49f6-80f5-64e269a7da50",1,0,4,0,0,959.00,0.00,"2026-07-02","Sin compra local",20,-1,0,"Gel Extra Forte","Producto de peinado","AVYNA","100ml","No compró servicios"
"07af9dbb-7377-4a21-8055-b2bc8233552b",7,4,27,13,13,10255.50,4856.50,"2026-04-30","2025-12-29",83,205,0,"Shampoo Platino","Tratamiento capilar","AVYNA","1L","Corte de Cabello Dama"
"07cc3607-3a5a-4fe9-81e9-61ab1c1cba67",1,1,2,2,2,759.00,560.00,"2026-07-01","2026-07-02",21,20,0,"Xtra Fixx Gel 300ml","Producto de peinado","NBC","300ml","Depilaciones Cera y Navaja"
"0800d4c8-b04c-46d3-a5f4-baf97699eb45",7,3,30,11,11,10284.00,4230.00,"2026-06-01","2025-01-31",51,537,0,"Finale-X ÁCIDO GLIOXILICO","Tratamiento capilar","AVYNA","200ml","Corte de Cabello Dama"
"0830ea11-68dc-4e73-bee2-78f5bca7da33",7,4,24,11,11,9254.50,4089.00,"2026-07-08","2025-12-29",14,205,0,"15 Beneficios 300ml Isseda","Tratamiento capilar","AVYNA","300ml","Corte de Cabello Dama"
"08767290-3163-425e-8980-7ea6563ae531",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"088856ee-a852-4f42-8b23-bb6bd9f48d33",7,3,36,5,5,11448.50,1760.00,"2026-06-12","2025-10-29",40,266,0,"Silk System Shine 125ml","Tratamiento capilar","TEC ITALY","125ml","Corte de Cabello Dama"
"08f3dc92-7a50-4332-a8b4-d83f74eadd33",1,1,3,1,1,849.00,250.00,"2026-07-17","2026-07-20",5,2,0,"Silk System Shine 60ml","Tratamiento capilar","TEC ITALY","60ml","Depilaciones Cera y Navaja"
"090edb46-332e-43e1-bc31-7de7270832ec",7,3,29,7,7,9918.50,2333.00,"2026-06-22","2025-12-09",30,225,0,"Mashera Ialuronico","Tratamiento capilar","AVYNA","Sin tamaño","Corte de Cabello Dama"
"091b5502-d4cf-4c96-a81a-904b3acf356c",7,3,32,6,6,9200.50,2330.00,"2026-06-12","2025-06-19",40,398,0,"Lozione Di Agave","Tratamiento capilar","AVYNA","50ml","Corte de Cabello Dama"
"0934314e-8788-4d2e-9fea-32ce3b87758b",1,0,4,0,0,1197.00,0.00,"2026-07-02","Sin compra local",20,-1,0,"180 Revolutionary Matte Ink","Maquillaje","LECLAT","Única","No compró servicios"
"09392159-7ad8-47b1-a76f-0c577549e7be",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"094e7ed3-8faa-426b-a181-81a31e4f5198",7,3,34,6,6,10738.50,2296.00,"2026-06-17","2025-09-12",35,313,0,"Platina Shampoo Negro 400ml","Tratamiento capilar","AVYNA","400ml","Corte de Cabello Dama"
"095b4bbb-bf98-4ae5-8cf7-e8db72933221",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"096fb11a-39a7-43c1-8542-9171edc7b6e9",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"09e43633-283f-4494-82fc-d6372e472f15",2,1,9,3,3,1907.50,684.00,"2026-04-24","2025-12-16",89,218,0,"Agua Micelar Jelly Purificante","Cuidado facial","GARNIER","Única","Depilaciones Cera y Navaja"
"0a06dd7d-a626-4b18-b975-31c185d90312",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"0a573fcf-7d90-4537-9eec-8fd87ad8ea0b",2,2,5,5,5,1413.00,1350.00,"2026-02-19","2025-09-12",153,313,0,"10 Current Mood Teddy Tint","Maquillaje","MAYBELLINE","Única","Depilaciones Cera y Navaja"
"0a99b721-f8ce-470f-8b74-1ee8d631c786",2,3,8,6,6,2135.00,1488.00,"2025-10-17","2025-11-01",278,263,0,"Gel Fijador P/Cejas Yuya","Maquillaje","YUYA","Única","Depilaciones Cera y Navaja"
"0abeca64-4aac-4852-b5e0-db42f0683782",7,3,29,6,6,9553.00,1945.00,"2026-07-08","2025-11-14",14,250,0,"Colageno Mg","Tratamiento capilar","AVYNA","Única","Corte de Cabello Dama"
"0b05af12-ab7c-418a-9e8c-a8cba1d1d458",2,3,7,9,9,2179.50,2175.00,"2026-04-24","2026-05-10",89,73,0,"Gel Fijador P/Cejas Yuya","Maquillaje","YUYA","Única","Depilaciones Cera y Navaja"
"0bc5b0cd-599a-4045-bd09-27ee19018a34",7,9,31,21,21,10741.00,7978.50,"2026-06-19","2026-06-02",33,50,0,"Silk System Shine 60ml","Tratamiento capilar","AVYNA","60ml","Corte de Cabello Dama"
"0bd8f785-df81-41e1-84de-7810cb272033",1,0,4,0,0,1206.50,0.00,"2026-06-26","Sin compra local",26,-1,0,"Curless Protector De Calor 110ml","Protector térmico","NBC","110ml","No compró servicios"
"0c29ff18-f7d9-4fa1-a4ce-6a2cd6f85544",12,15,90,49,49,41313.50,19476.25,"2026-06-25","2026-07-01",27,21,0,"Mashera Di Agave","Tratamiento capilar","AVYNA","250ml","Corte de Cabello Dama"
"0c95c0d9-ad40-4365-9ab0-0e5a42cfe437",7,9,31,22,22,10518.50,8094.50,"2026-06-21","2026-06-15",31,37,0,"Liss Di Lino","Tratamiento capilar","AVYNA","150ml","Depilaciones Cera y Navaja"
"0cba44e0-ba69-4d07-8c9a-0a02e390098d",1,0,3,0,0,1430.00,0.00,"2026-07-08","Sin compra local",14,-1,0,"Mashera Di Goji","Tratamiento capilar","AVYNA","1L","No compró servicios"
"0cce821d-ae1f-4094-8f47-8dec213b524f",12,15,113,43,43,41830.50,14862.00,"2026-07-02","2026-06-19",20,33,0,"Riconstruttore Di Goji","Tratamiento capilar","AVYNA","250ml","Corte de Cabello Dama"
"0da0dc7a-053c-475a-a739-40ac6921d317",12,10,88,18,18,42294.00,7754.75,"2026-06-10","2026-07-13",42,9,0,"Liss Di Lino","Tratamiento capilar","AVYNA","150ml","Corte de Cabello Dama"
"0e8681bf-8543-43ef-bb6c-40d5baa7567f",12,8,79,16,16,37211.50,6665.50,"2026-06-14","2025-10-07",38,288,0,"Fluido Ialuronico","Tratamiento capilar","AVYNA","100ml","Corte de Cabello Dama"
"0e9212ff-c7d2-4cf2-ac18-4d9b38fa7e96",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"0f254c9d-1979-46f5-9239-449ee1755837",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"0f8e288f-b964-42f0-9e64-c15aa7d090ab",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"0f8f36e6-e4be-4a7b-a2cc-4f64f66e6aa9",1,1,2,1,1,929.00,330.00,"2026-06-22","2026-06-30",30,22,0,"Shampoo Abbondanza","Tratamiento capilar","AVYNA","1000ml","Corte de Cabello Dama"
"0fed415a-47c7-4e77-b11e-ad23cc89a0f3",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"1011004f-82ea-48d5-b5ff-dec7d00d6cce",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"1078b377-982f-446e-8e69-a0a6da80cac2",2,3,6,5,5,2007.50,1519.50,"2025-11-09","2025-10-28",255,267,0,"Gel Extra Forte","Maquillaje","AVYNA","500ml","Depilaciones Cera y Navaja"
"109f6686-a419-4404-9453-885e2a2e8853",7,3,33,7,7,10105.00,2815.50,"2026-06-11","2025-11-20",41,244,0,"Mashera Ialuronico","Tratamiento capilar","AVYNA","200ml","Corte de Cabello Dama"
"10aa62da-9808-44bb-af33-b46d7355b72f",0,3,0,3,3,0.00,1500.00,"Sin compra online","2026-07-19",-1,3,0,"Shampoo Abbondanza","Shampoo","AVYNA","1000ml","Corte de Cabello Dama"
"1100af61-2f05-47f1-ac24-aaf0eb2a2e8a",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"114d138e-1429-4931-928a-a4387db9a757",2,3,7,6,6,2160.50,1858.25,"2026-05-21","2026-05-27",62,56,0,"Mashera Di Argan","Tratamiento capilar","AVYNA","500ml","Corte de Cabello Dama"
"1155d155-3e7a-4778-b1ee-8912f62ba266",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"11a80b80-bb3c-4a5f-af43-9428676fa4e7",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"11b4fd3d-8df4-4b05-af2d-a4b0d7159f0c",7,10,32,22,22,10882.00,9064.75,"2026-06-02","2026-05-28",50,55,0,"Shampoo Di Argan","Shampoo","AVYNA","1L","Corte de Cabello Dama"
"11c92cdc-2689-4932-a5e6-4efeeab37591",7,3,32,7,7,7292.00,1762.50,"2026-07-16","2026-04-10",6,103,0,"07 Fit Me Tint","Maquillaje","MAYBELLINE","Única","Depilaciones Cera y Navaja"
"1245a343-cde8-4cd1-be41-e9e2b73494b2",7,9,29,23,23,10339.00,9286.50,"2026-06-14","2026-06-29",38,23,0,"Mashera Di Goji","Tratamiento capilar","AVYNA","100ml","Corte de Cabello Dama"
"1248fd37-a184-481c-805e-df03913cc4a8",12,9,100,24,24,46892.50,9252.75,"2026-06-02","2025-10-05",50,290,0,"Curless Protector De Calor 300ml","Producto de peinado","AVYNA","300ml","Corte de Cabello Dama"
"1282b79f-9904-41f1-816f-2eba8f770b75",2,1,5,2,2,2299.00,690.00,"2025-09-25","2024-10-11",300,649,0,"Mashera Di Goji","Tratamiento capilar","AVYNA","1L","Corte de Cabello Dama"
"12c699e6-c483-4488-ad61-403c7ef7b459",7,8,28,20,20,8176.50,6989.00,"2026-04-27","2026-05-02",86,81,0,"Chocolatto Protector Termico","Tratamiento capilar","AVYNA","250ml","Corte de Cabello Dama"
"12d55d8d-47e8-4c29-b149-3473f6beeb68",2,3,5,11,11,1832.00,3850.00,"2026-03-22","2026-03-19",122,125,0,"Curless Protector De Calor 110ml","Protector térmico","NBC","110ml","Corte de Cabello Dama"
"12f51481-536e-4f2c-90ee-ccfa7c056fe9",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"13094fb4-a72c-414f-b394-2921bde68a22",2,3,13,7,7,2836.00,1720.00,"2025-11-23","2025-11-05",241,259,0,"03 Fit Me Tint","Maquillaje","MAYBELLINE","Única","Depilaciones Cera y Navaja"
"14102301-83cd-4cb5-a5fd-3dec15e09dae",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"148dc43d-9c13-4abc-a7d1-c0d99ea51436",2,1,9,3,3,2461.50,890.00,"2026-05-07","2026-01-09",76,194,0,"The Falsies Volumexpress Mascara De...","Maquillaje","MAYBELLINE","Única","Corte de Cabello Dama"
"14ea19b8-ead5-41ad-9737-f71a0be1a10b",1,1,2,1,1,614.50,245.00,"2026-06-24","2026-06-11",28,41,0,"Mashera Ialuronico","Tratamiento capilar","AVYNA","250ml","Depilaciones Cera y Navaja"
"156a0d9c-1683-465c-9aeb-8822def99355",1,0,2,0,0,939.00,0.00,"2026-06-26","Sin compra local",26,-1,0,"Xtyling Curly","Producto de peinado","AVYNA","300ml","No compró servicios"
"156c3c7c-3692-4207-bcd5-9796fbc13074",2,1,6,1,1,2649.00,580.00,"2026-06-18","2026-03-07",34,137,0,"Liss Di Lino","Tratamiento capilar","AVYNA","150ml","Botox Capilar"
"157945c1-b316-4769-8dc2-ca4f0d144f90",2,2,8,5,5,2840.00,2390.00,"2025-11-09","2025-01-11",255,557,0,"Mashera Platino","Tratamiento capilar","AVYNA","500ml","Botox Capilar"
"157c0034-9002-4218-9217-9116962720c5",2,3,10,9,9,2375.00,1864.00,"2026-04-15","2026-04-16",98,97,0,"Gel Fijador P/Cejas Yuya","Maquillaje","MAYBELLINE","Única","Depilaciones Cera y Navaja"
"159b18fe-d526-435b-91cc-d90b8653f90a",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"15b9133b-d5f8-439b-97f9-baad3759adea",1,1,4,1,1,1380.00,360.00,"2026-07-05","2026-07-17",17,5,0,"Mashera Di Agave","Tratamiento capilar","AVYNA","500ml","Corte de Cabello Dama"
"15d77e32-6bf1-4463-a1e6-04da4b989789",12,10,104,31,31,47452.50,10715.00,"2026-06-19","2025-08-17",33,339,0,"Silk System Shine 300ml","Tratamiento capilar","AVYNA","300ml","Corte de Cabello Dama"
"1623db06-9f03-4b54-9c95-833cf71b3210",12,15,95,43,43,43685.00,15889.00,"2026-05-31","2026-05-24",52,59,0,"Silk System Shine 300ml","Tratamiento capilar","AVYNA","300ml","Corte de Cabello Dama"
"16e1f1b1-d754-4687-a402-ea0480605af3",1,0,5,0,0,1039.00,0.00,"2026-06-23","Sin compra local",29,-1,0,"Gel Extra Forte","Producto de peinado","AVYNA","100ml","No compró servicios"
"16fcd1ca-2b9b-4ae8-8184-9d235d23a51c",7,8,22,19,19,8251.00,7277.25,"2026-07-01","2026-07-13",21,9,0,"Mashera Ialuronico","Tratamiento capilar","AVYNA","100ml","Corte de Cabello Dama"
"171a196e-e87a-4402-80f7-5b5802b4f2d6",2,3,13,8,8,2880.00,1940.00,"2026-05-07","2026-04-23",76,90,0,"Gel Fijador P/Cejas Yuya","Maquillaje","YUYA","Única","Depilaciones Cera y Navaja"
"176465bc-4733-4cf1-9bff-bca25219ab00",12,9,101,19,19,44488.00,7876.75,"2026-07-02","2026-01-27",20,176,0,"Thermo Dual 200ml","Protector térmico","AVYNA","200ml","Corte de Cabello Dama"
"17683be9-8e05-4d71-a5ae-f3735736c298",1,1,3,2,2,1229.00,720.00,"2026-07-09","2026-07-14",13,8,0,"Mashera Di Agave","Tratamiento capilar","AVYNA","500ml","Corte de Cabello Dama"
"17727600-fea6-437a-a1b8-ae67f3096341",2,3,4,10,10,1225.00,3036.00,"2026-02-28","2026-03-06",144,138,0,"Gel Extra Forte","Producto de peinado","AVYNA","100ml","Depilaciones Cera y Navaja"
"177a783d-0752-4904-9089-2aa63b69a81e",2,3,6,6,6,1985.50,1830.00,"2026-05-20","2026-05-28",63,55,0,"Definition Liquid Gel 300ml","Producto de peinado","AVYNA","300ml","Corte de Cabello Dama"
"179503eb-19fa-4ad6-a988-7946fdb5fb8f",1,1,4,1,1,959.00,410.00,"2026-06-29","2026-07-03",23,19,0,"Gel Extra Forte","Producto de peinado","AVYNA","100ml","Corte de Cabello Dama"
"19325be0-dccb-4c29-9e21-72867ae730fb",2,1,4,2,2,1552.50,830.00,"2026-03-15","2025-04-30",129,448,0,"Shampoo Ialuronico","Shampoo","AVYNA","500ml","Corte de Cabello Dama"
"198556b5-2f2e-4079-9abe-0da78ad4d3eb",1,1,3,2,2,1182.00,980.00,"2026-07-02","2026-06-27",20,25,0,"Protector Termico Leclat","Protector térmico","LECLAT","380ml","Botox Capilar"
"19996297-f358-4866-90cc-82f3fcbffa3a",7,8,27,19,19,9391.00,6941.75,"2026-06-08","2026-05-25",44,58,0,"Mashera Di Agave","Tratamiento capilar","AVYNA","Única","Corte de Cabello Dama"
"199ec7af-c2be-4d04-bf17-6c498a84d6c6",7,4,31,10,10,8930.50,3009.25,"2026-07-08","2026-04-09",14,104,0,"Gel Extra Forte","Producto de peinado","AVYNA","300ml","Corte de Cabello Dama"
"1a58e73e-64f3-4959-8431-0bd6175ef2f8",1,0,2,0,0,1139.00,0.00,"2026-07-08","Sin compra local",14,-1,0,"Mashera Ialuronico","Tratamiento capilar","AVYNA","1L","No compró servicios"
"1a64bca6-d8f2-4998-af73-8762ffbca356",1,2,4,3,3,1444.00,965.00,"2026-06-19","2026-06-07",33,45,0,"Mashera Di Agave","Tratamiento capilar","AVYNA","500ml","Corte de Cabello Dama"
"1a92c1d3-c60f-4faf-9a06-8759490d48ef",12,9,80,25,25,35086.50,8405.50,"2026-06-18","2026-02-19",34,153,0,"Lozione Di Agave","Tratamiento capilar","AVYNA","50ml","Corte de Cabello Dama"
"1aa77720-f9e1-4498-abfe-539b4142c6d8",1,1,4,1,1,1453.50,380.00,"2026-07-03","2026-06-21",19,31,0,"Fiber Paste/Cera Fibrosa","Tratamiento capilar","AVYNA","150ml","Corte de Cabello Dama"
"1aeaa28e-f0fe-48a4-a9bd-9eb4f05a5dd6",1,0,4,0,0,1330.00,0.00,"2026-06-20","Sin compra local",32,-1,0,"220 Lumi Matte 30h","Maquillaje","MAYBELLINE","30ml","No compró servicios"
"1b037ab8-32fa-46eb-b6e8-36586d4c003a",2,2,9,5,5,2432.50,1223.75,"2026-02-16","2025-11-06",156,258,0,"Chocolatto Protector Termico","Tratamiento capilar","AVYNA","250ml","Depilaciones Cera y Navaja"
"1b3164ac-faa6-40c3-88f1-bc34ee776c56",2,1,6,2,2,2132.00,880.00,"2026-03-25","2025-12-12",119,222,0,"Gel Extra Forte","Producto de peinado","AVYNA","100ml","Botox Capilar"
"1b566291-d398-4cb0-b62a-c0e6fbcb3b26",2,2,9,4,4,3051.50,1385.00,"2026-04-30","2025-05-29",83,419,0,"Xtiling Mousse","Producto de peinado","AVYNA","300ml","Corte de Cabello Dama"
"1bfc4df7-ca69-4e10-8b66-dc1bbae751ad",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"1c128341-8f3f-4b5b-ad38-017c774e7c21",7,10,26,22,22,8021.50,7847.50,"2026-07-14","2026-07-20",8,2,0,"Gel Extra Forte","Producto de peinado","AVYNA","100ml","Corte de Cabello Dama"
"1cdcac8d-08af-44bc-8d76-5f9438cf02d0",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"1cfb9a14-413c-49b9-9992-43ba411cb32a",2,1,6,2,2,2529.00,790.00,"2026-04-16","2026-01-30",97,173,0,"Gel Extra Forte","Producto de peinado","AVYNA","500ml","Corte de Cabello Dama"
"1d15f8c8-f36e-4252-ac89-4c0905fdcbb1",2,1,6,1,1,1898.00,250.00,"2026-05-26","2026-03-24",57,120,0,"Silk System Shine 60ml","Tratamiento capilar","TEC ITALY","60ml","Depilaciones Cera y Navaja"
"1d1ac31c-76b6-41a7-823a-d5ca40693e76",1,1,1,2,2,669.00,1140.00,"2026-06-19","2026-06-04",33,48,0,"Curless Protector De Calor 300ml","Protector térmico","NBC","300ml","Botox Capilar"
"1db01fe1-9ee8-488a-bad4-a925b06a7e1a",7,3,34,8,8,9405.00,2042.50,"2026-06-27","2025-12-04",25,230,0,"Xtyling Curly","Maquillaje","MAYBELLINE","300ml","Depilaciones Cera y Navaja"
"1de3cddf-0a29-4038-a787-cec42e43ae41",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
"1e1cbe11-fa9d-434f-82ab-8f9e40411684",2,5,8,13,13,2599.00,3955.25,"2025-10-10","2025-10-20",285,275,0,"Mashera Ialuronico","Tratamiento capilar","AVYNA","250ml","Depilaciones Cera y Navaja"
"1e4de90a-e484-46c0-8e1b-2b68fff9901e",2,1,4,1,1,1898.00,545.00,"2025-12-06","2025-06-17",228,400,0,"Mashera Di Agave","Tratamiento capilar","AVYNA","500ml","Corte de Cabello Dama"
"1e656fcc-b2f2-4245-8bac-27d12bdbba99",7,8,27,22,22,8070.00,7545.00,"2026-07-08","2026-07-10",14,12,0,"Mashera Di Agave","Tratamiento capilar","AVYNA","Sin tamaño","Corte de Cabello Dama"
"1eb83a60-bbf8-4084-b731-a3531b08154b",1,1,1,2,2,399.00,600.00,"2026-07-08","2026-06-23",14,29,0,"Definition Liquid Gel 300ml","Producto de peinado","NBC","300ml","Corte de Cabello Dama"
"1ef9ecb1-7040-4b41-99dc-d8d06a1f1d6b",0,0,0,0,0,0.00,0.00,"Sin compra online","Sin compra local",-1,-1,1,"Sin compras","Sin compras","Sin compras","Sin compras","Sin compras"
